Location,Hospital,Address,State,District,Pincode
"Bye Pass Road, Adjacent Sant Nischal Singh Public School",N.K. Urology Centre And Stone Clinic,"Bye Pass Road, Adjacent Sant Nischal Singh Public School",Haryana,Yamunanagar,135002
"72,Luxmi Garden,Near-I.T.I",R.R Free Seva Hospital Eye Hospital,"72,Luxmi Garden,Near-I.T.I",Haryana,Yamunanagar,135002
"Bhal Kanahiya Sahib Chowk,Bye Pass Road",Raj Hospital,"Bhal Kanahiya Sahib Chowk,Bye Pass Road",Haryana,Yamunanagar,135002
"Near I.T.I, Railway Workshop Road",Rajan Hospital,"Near I.T.I, Railway Workshop Road",Haryana,Yamunanagar,135002
"Mandi Road, Radaur",Rama Nursing Home,"Mandi Road , Radaur",Haryana,Yamunanagar,135002
"Govindpuri Road, Near Kanhaiya Sahib",Rana Hospital,"Govindpuri Road, Near Kanhaiya Sahib",Haryana,Yamunanagar,135002
Civil Hospital Sonepat (Government) M. L. General Hospital,Rattan Multi Speciality Hospital and Clinical Lab,Civil Hospital Sonepat (Government) M. L. General Hospital,Haryana,Yamunanagar,135002
"Near Dav Dental College,Model Town",Ravi Hospital,"Near Dav Dental College ,Model Town",Haryana,Yamunanagar,135002
"Previous Sahney Hospita,Opp City Police Station,Near Sarni ChowkModel Town",Rishi Ram Memorial Hospital,"Previous Sahney Hospita,Opp City Police Station ,Near Sarni Chowk ,Model Town",Haryana,Yamunanagar,135002
72 Luxmi Garden,Roop Rani Free Sewa Eye Hospital,72 Luxmi Garden,Haryana,Yamunanagar,135002
Govindpuri Sarni Chowk,Sanjeevani Hospital,Govindpuri Sarni Chowk,Haryana,Yamunanagar,135002
"Gupta Colony, Near Bhai Kanhayia Sahib Chowk",Sanjivani Hospital,"Gupta Colony, Near Bhai Kanhayia Sahib Chowk",Haryana,Yamunanagar,135002
Near Bhai Kanhiya Sahib Chowk,Santosh Hospital,Near Bhai Kanhiya Sahib Chowk,Haryana,Yamunanagar,135002
"481 -R,Model TownOpposite City Police Station",Sawhney Hospital,"481 -R ,Model Town ,Opposite City Police Station",Haryana,Yamunanagar,135002
Jourian,Shri Suresh Chandra Memorial Eye and General Hospit,Jourian,Haryana,Yamunanagar,135002
"5-6, Tagore Graden.Opp Hanuman Mandir,Bye Pass Road",Sihint E.N.T Hospital,"5-6, Tagore Graden.Opp Hanuman Mandir,Bye Pass Road",Haryana,Yamunanagar,135002
0,Sihint Hospital,,Haryana,Yamunanagar,135002
"92-B/R,Model Town",Smt. Shanti Devi Kalra Eye and Maternity Hospital,"92-B/R,Model Town",Haryana,Yamunanagar,135002
Opposite Madhu Motors,Sudhir Children andMaternity Hospital,Opposite Madhu Motors,Haryana,Yamunanagar,135002
Jagadhari Road,Waryam Singh Hospital,Jagadhari Road,Haryana,Yamunanagar,135002
"National Highway 73A, Basant Nagar, Jagadhri",Aggrawal Hospital,"National Highway 73A, Basant Nagar, Jagadhri",Haryana,Yamunanagar,135003
"Puran Vihar, Near Dimple Cinema, Jagadhri",Bansal Eye Hospital,"Puran Vihar, Near Dimple Cinema, Jagadhri",Haryana,Yamunanagar,135003
"Civil Lines Rd, Gomti Mohalla, Jagadhri",Civil Hospital,"Civil Lines Rd, Gomti Mohalla, Jagadhri",Haryana,Yamunanagar,135003
"Civil Lines, Jagadhri",Dua Nursing Home,"Civil Lines, Jagadhri",Haryana,Yamunanagar,135003
Jagadhari,General Hospital,Jagadhari,Haryana,Yamunanagar,135003
"National Highway 73A, Basant Nagar, Jagadhri",Kapil Hospital,"National Highway 73A, Basant Nagar, Jagadhri",Haryana,Yamunanagar,135003
"Jain Nagar, Jagadhri-135003, National Highway 73A, Huda Sector 17, Huda, Jagadhri",Mahendra Hospital / Mahendru Hospital,"Jain Nagar , Jagadhri-135003, , National Highway 73A, Huda Sector 17, Huda, Jagadhri",Haryana,Yamunanagar,135003
"Near Bhai Manasa Singh Gurudwara, Buria GateJagadhri",Manocha Hospital,"Near Bhai Manasa Singh Gurudwara , Buria Gate ,Jagadhri",Haryana,Yamunanagar,135003
"Near Bus Stand Bye Pass Road, Jagadhri",Rameshwar Dass Memorial Hospital,"Near Bus Stand Bye Pass Road, Jagadhri",Haryana,Yamunanagar,135003
"Near Primary School,Gobind Puri",Santosh Hospital,"Near Primary School,Gobind Puri",Haryana,Yamunanagar,135003
"Near 965 P, Sector-17, Huda, Jagadhari",Sh O P Memorial Jain Hospital,"Near 965 P, Sector-17, Huda, Jagadhari",Haryana,Yamunanagar,135003
"Bilaspur Road, Jagadhri",Tilak Raj Chhabra Memorial Hospital,"Bilaspur Road, Jagadhri",Haryana,Yamunanagar,135003
"Ambala Road, Jagadhari",Vignesh Hospital,"Ambala Road, Jagadhari",Haryana,Yamunanagar,135003
"Vishal Nagar,  Road, Jagadhari",Vishal Hospital,"Vishal Nagar,  Road, Jagadhari",Haryana,Yamunanagar,135003
"Basant Nagar, Jagadhri",Esi Hospital,"Basant Nagar, Jagadhri",Haryana,Yamunanagar,135106
"ESIC Building, Jagadiri, Yamunanagar\n","ESI Hospital, Jagadiri","ESIC Building, Jagadir",Haryana,Yamunanagar,135003
Near Sapphire Hotel\n,"Eye-Q Super Speciality Eye Hospitals, Yamunanagar",Near Sapphire Hotel,Haryana,Yamunanagar,135003
"Sector-17, Huda, Jagadhari",Jindal Hospital,"Sector-17, Huda, Jagadhari",Haryana,Yamunanagar,135001
"Near Luxmi Theater, Jagadhi Road",J P Hospital,"Near Luxmi Theater, Jagadhi Road",Haryana,Yamunanagar,135001
Rampur,Ayurvedic Hospital,Rampur,Himachal Pradesh,Shimla,0
Rohru,Ayurvedic Hospital,Rohru,Himachal Pradesh,Shimla,0
Rohru Shimla,Civil Hospital,Rohru,Himachal Pradesh,Shimla,0
Chopal,Civil Hospital,Chopal,Himachal Pradesh,Shimla,0
Jubbal,Civil Hospital,Jubbal,Himachal Pradesh,Shimla,0
Junga,Civil Hospital,Junga,Himachal Pradesh,Shimla,0
Kotgarh,Civil Hospital,Kotgarh,Himachal Pradesh,Shimla,172031
Nerwa,Civil Hospital,Nerwa,Himachal Pradesh,Shimla,0
Theog,Civil Hospital,Theog,Himachal Pradesh,Shimla,0
"Nankhri, Shimla",Community Health Centre,Nankhri,Himachal Pradesh,Shimla,0
Chirgaon,Community Health Centre,Chirgaon,Himachal Pradesh,Shimla,0
Kumarsain,Community Health Centre,Kumarsain,Himachal Pradesh,Shimla,0
Suni,Community Health Centre,Suni,Himachal Pradesh,Shimla,0
"Kotkhai, Shimla",Community Health Centre,Kotkhai,Himachal Pradesh,Shimla,0
Shimla,DDU Hospital,,Himachal Pradesh,Shimla,0
,GovernmentDental Collage,,Himachal Pradesh,Shimla,0
Shimla,Indira Gandhi Medical Collage,,Himachal Pradesh,Shimla,0
"Nav Bahar, Shimla",Indus Hospital,Nav Bahar,Himachal Pradesh,Shimla,0
"Neelkunj, North Oak Sanjauli Shimla",JNS Eye Care Centre,"Neelkunj, North Oak Sanjauli",Himachal Pradesh,Shimla,0
Shimla,KNH Shimla,,Himachal Pradesh,Shimla,0
"Khneri, Rampur",MGMSCKHNERI,"Khneri, Rampur",Himachal Pradesh,Shimla,0
Mashobra,Primary Health Centre,Mashobra,Himachal Pradesh,Shimla,0
"Ghagas, Bilaspur - Nh - 21, Manali Road",Apna Hospital,"Ghagas, - Nh - 21, Manali Road",Himachal Pradesh,Bilaspur,174001
Bilaspur,District Ayurvedic Hospital,,Himachal Pradesh,Bilaspur,174001
Bilaspur,Regional Hospital,,Himachal Pradesh,Bilaspur,174001
N H 21 Near Iti,Vyas Hospital,N H 21 Near Iti,Himachal Pradesh,Bilaspur,174001
Kandraur,"Ayurvedic Hospital, Kandraur",Kandraur,Himachal Pradesh,Bilaspur,174004
Ghumarwin,Civil Hospital,Ghumarwin,Himachal Pradesh,Bilaspur,174021
Ghur=Marwin,Fortis Rainbow Hospital,GhurMarwin,Himachal Pradesh,Bilaspur,174021
"Indra Market, Ghumarwin",Leelawati Hospital,"Indra Market, Ghumarwin",Himachal Pradesh,Bilaspur,174021
Naina Devi,C H C Naina Devi,Naina Devi,Himachal Pradesh,Bilaspur,174310
Bilaspur,Vyas Hospital,,Himachal Pradesh,Bilaspur,0
Ghumarwin,Rainbow Hospital,Ghumarwin,Himachal Pradesh,Bilaspur,0
KANDRAUR,Ayurvedic Hospital,KANDRAUR,Himachal Pradesh,Bilaspur,174004
GHUMARWIN,Civil Hospital,GHUMARWIN,Himachal Pradesh,Bilaspur,174021
MARKANDA,Community Health Centre,MARKANDA,Himachal Pradesh,Bilaspur,0
Bhareri,Community Health Centre,Bhareri,Himachal Pradesh,Bilaspur,174027
BARTHIN,Community Health Centre,BARTHIN,Himachal Pradesh,Bilaspur,0
JHANDUTTA,Community Health Centre,JHANDUTTA,Himachal Pradesh,Bilaspur,174031
NAINA DEVI,Community Health Centre,NAINA DEVI,Himachal Pradesh,Bilaspur,174310
Bilaspur,Ayurvedic Hospital,,Himachal Pradesh,Bilaspur,174001
Bilaspur,Regional Hospital,,Himachal Pradesh,Bilaspur,0
Chowari,"Referral Hospital, Chowari",Chowari,Himachal Pradesh,Chamba,176302
Holi,C H C Holi,Holi,Himachal Pradesh,Chamba,176309
Chamba,Government Hospital,,Himachal Pradesh,Chamba,176310
Mohalla Sapari,Navjeevan Hospital,Mohalla Sapari,Himachal Pradesh,Chamba,176310
0,"Regional Hospital, Chamba",,Himachal Pradesh,Chamba,176310
Near Bus Stand,Sukhmani Hospital,Near Bus Stand,Himachal Pradesh,Chamba,176310
Choori,C H C Choori,Choori,Himachal Pradesh,Chamba,176311
Kakira,"P H C, Kakira",Kakira,Himachal Pradesh,Chamba,176313
Kakira Kamlari,Swami Shri Hari Giri Hospital,Kakira Kamlari,Himachal Pradesh,Chamba,176313
Sahoo,C H C Sahoo,Sahoo,Himachal Pradesh,Chamba,176314
Bharmour,"Ayurvedic Hospital, Bharmour",Bharmour,Himachal Pradesh,Chamba,176315
Bhamour,C H C Bharmour,Bhamour,Himachal Pradesh,Chamba,176315
Saluni,C H C Saluni,Saluni,Himachal Pradesh,Chamba,176320
Killar,C H C Killar,Killar,Himachal Pradesh,Chamba,176323
Purthi,"P H C, Purthi",Purthi,Himachal Pradesh,Chamba,176323
Bharmour,Ayurvedic Hospital,Bharmour,Himachal Pradesh,Chamba,176315
"Subhash Chowk Rd, Moti Tiba",Civil Hospital,"Subhash Chowk Rd, Moti Tiba",Himachal Pradesh,Chamba,176305
Tissa,Civil Hospital,Tissa,Himachal Pradesh,Chamba,176316
BHARMOUR,Community Health Centre,BHARMOUR,Himachal Pradesh,Chamba,0
CHOORI,Community Health Centre,CHOORI,Himachal Pradesh,Chamba,0
HOLI,Community Health Centre,HOLI,Himachal Pradesh,Chamba,176309
Kihar,Community Health Centre,Kihar,Himachal Pradesh,Chamba,0
Killar,Community Health Centre,Killar,Himachal Pradesh,Chamba,0
Purthi,Community Health Centre,Purthi,Himachal Pradesh,Chamba,0
Sahoo,Community Health Centre,Sahoo,Himachal Pradesh,Chamba,0
Saluni,Community Health Centre,Saluni,Himachal Pradesh,Chamba,0
Chamba,District Ayurvedic Hospital,,Himachal Pradesh,Chamba,176312
Kakira,Primary Health Centre,Kakira,Himachal Pradesh,Chamba,0
Purthi,Primary Health Centre,Purthi,Himachal Pradesh,Chamba,0
CHOWARI,Referral Hospital,CHOWARI,Himachal Pradesh,Chamba,0
Hamirpur,Regional Hospital,,Himachal Pradesh,Hamirpur,0
Chamba,Regional Hospital,,Himachal Pradesh,Chamba,0
"Barsar, Hamirpur",Chc Barsar,Barsar,Himachal Pradesh,Hamirpur,174305
"Sujanpur Tira, Hamirpur",Chc Sujanpur Tira,Sujanpur Tira,Himachal Pradesh,Hamirpur,176110
Pakka Bharo,Aastha Hospital,Pakka Bharo,Himachal Pradesh,Hamirpur,177001
Naduan,Chc Naduan,Naduan,Himachal Pradesh,Hamirpur,177001
0,District Ayurvedic Hospital,,Himachal Pradesh,Hamirpur,177001
0,Regional Hospital,,Himachal Pradesh,Hamirpur,177001
"Ns22, Bhotaroad, Wardno-11",Sai Hospital,"Ns22, Bhotaroad, Wardno-11",Himachal Pradesh,Hamirpur,177001
Nr. Bus Stand,Sri Krishna Hospital,Nr. Bus Stand,Himachal Pradesh,Hamirpur,177001
Ward No.8,Thakur Surgical and Maternity Nursing Home,Ward No.8,Himachal Pradesh,Hamirpur,177001
Devpal Chowk,Vinod Medical and Diagnostic Clinic,Devpal Chowk,Himachal Pradesh,Hamirpur,177001
Ist Floor Ajay Medical Store\nOppositeRH,"Himachal Heads Neck Hospital, The  Multispeciality Dental Clinic, Maxillofacail Surgical Centre",Ist Floor Ajay Medical Store\nOppositeRH,Himachal Pradesh,Hamirpur,177001
Kadiar,Ayurvedic Hospital,Kadiar,Himachal Pradesh,Hamirpur,177001
Tauni Devi,Civil Hospital,Tauni Devi,Himachal Pradesh,Hamirpur,177023
BARSAR,Community Health Centre,BARSAR,Himachal Pradesh,Hamirpur,174305
Nadaun,Community Health Centre,Nadaun,Himachal Pradesh,Hamirpur,177001
Bhoranj,Community Health Centre,Bhoranj,Himachal Pradesh,Hamirpur,0
Bhoranj,Community Health Centre,Bhoranj,Himachal Pradesh,Hamirpur,0
Galore,Community Health Centre,Galore,Himachal Pradesh,Hamirpur,0
Sujanpur Tira,Community Health Centre,Sujanpur Tira,Himachal Pradesh,Hamirpur,0
Hamirpur,DistrictAyurvedic Hospital,,Himachal Pradesh,Hamirpur,0
"Manvi, Hamirpur",Jain Muni Ayurvedic Manvi Hospital,Manvi,Himachal Pradesh,Hamirpur,0
Hamirpur,Regional Hospital,,Himachal Pradesh,Hamirpur,0
"V. & P.O Khaira,Teh Palampur",Bimal Nursing Home,"V. & P.O Khaira,Teh Palampur",Himachal Pradesh,Kangra,176001
"Baijnath, District Kangra",Civil Hospital,Baijnath,Himachal Pradesh,Kangra,176001
Tanda,Dr.Rpmc Hospital,Tanda,Himachal Pradesh,Kangra,176001
Registered Under Registration Of Societies Act Xxi Of 1860 Registration No : 469 Kangra,Maple Leaf Hospital,Registered Under Registration Of Societies Act Xxi Of 1860 Registration No : 469,Himachal Pradesh,Kangra,176001
"11,12-Jai Market Poo, Bat Show Roo,\M, Kangra",Rama Hospital Nursing and Maternity Home,"11,12-Jai Market Poo, Bat Show Roo,\M",Himachal Pradesh,Kangra,176001
"Kangra, Kangra",S M Eye Hospital,,Himachal Pradesh,Kangra,176001
"Near New Bus Stand,Opp Petrol Pump,Dharamshala Road, Kangra",Shri Balaji Hospital,"Near New Bus Stand,Opp Petrol Pump,Dharamshala Road",Himachal Pradesh,Kangra,176001
Jawalamukhi,C H C Jawalamukhi,Jawalamukhi,Himachal Pradesh,Kangra,176031
Daulatpur,Chc,Daulatpur,Himachal Pradesh,Kangra,176038
Nagrota Bagwan,C.H.C.,Nagrota Bagwan,Himachal Pradesh,Kangra,176047
"Near Railway Station, Nagrota Bagwan, District Kangra",Panchsheel Nursing Home Pvt Ltd,"Near Railway Station, Nagrota Bagwan",Himachal Pradesh,Kangra,176047
"Chahri, Nagrota Bagwan, District Kangra",Sood Nursing Home,"Chahri, Nagrota Bagwan",Himachal Pradesh,Kangra,176047
Fatehpur,Community Health Center,Fatehpur,Himachal Pradesh,Kangra,176053
Palampur,Civil Hospital,Palampur,Himachal Pradesh,Kangra,176061
"Palampur, Medical Department, Himachal Pradesh",Civil Hospital,"Palampur, Medical Department",Himachal Pradesh,Kangra,176061
"Village Ghuggar Tanda, Palampur",Dr. Karan Hospital,"Village Ghuggar Tanda, Palampur",Himachal Pradesh,Kangra,176061
"Lohna Colony, Near K.L.B. College, Palampur,Kangra",Sushma Hospital And Women Care Centre,"Lohna Colony, Near K.L.B. College, Palampur",Himachal Pradesh,Kangra,176061
"Holta Near H.P Agricultural,UniversityPalampur ,Hp",Vivekanand Medical Institute (A Unit Of Vmrt,"Holta Near H.P Agricultural ,University ,Palampur",Himachal Pradesh,Kangra,176061
"Thakurdwara Chowk, Palampur",Dattals Thakur Bhawani Singh Memorial Hospital,"Thakurdwara Chowk, Palampur",Himachal Pradesh,Kangra,176062
Bhawarna,C H C Bhawarna,Bhawarna,Himachal Pradesh,Kangra,176083
Chadhiar,C H C Chadhiar,Chadhiar,Himachal Pradesh,Kangra,176088
Thural,Civil Hospital,Thural,Himachal Pradesh,Kangra,176107
"Jhiklibeth, Baijnath, District Kangra",Janani Hospital,"Jhiklibeth, Baijnath",Himachal Pradesh,Kangra,176125
"Baijnath District, Kangra",Shesh Awashti Memorial Dtil Hospital,Baijnath,Himachal Pradesh,Kangra,176125
Jassur,"Saxena Hospital, Jassur",Jassur,Himachal Pradesh,Kangra,176201
"Nurpur, H.P",Civil Hospital,Nurpur,Himachal Pradesh,Kangra,176202
Shahpur,C H C Shahpur,Shahpur,Himachal Pradesh,Kangra,176206
"Dharamshala,",District Ayurvedic Hospital,Dharamshala,Himachal Pradesh,Kangra,176215
Ram Nagar,Sai Mahima Hospital - Dharamshala,Ram Nagar,Himachal Pradesh,Kangra,176215
Dharamshala,"Zonal Hospital, Dharamshala",Dharamshala,Himachal Pradesh,Kangra,176215
Indora,Civil Hospital,Indora,Himachal Pradesh,Kangra,176401
Dehra,"Ayurvedic Hospital, Dehrra",Dehra,Himachal Pradesh,Kangra,177101
Dehra,Civil Hospital,Dehra,Himachal Pradesh,Kangra,177101
Dadasiba,C H C Dadasiba,Dadasiba,Himachal Pradesh,Kangra,177106
"Kangra Chamunda, Bye Pass,\nNH - 20",Dr.Rajendra Prasad Government  Medical College,"Kangra Chamunda, Bye Pass,\nNH - 20",Himachal Pradesh,Kangra,176001
Kangra Dharamshala Road\n,Fortis Hospital,Kangra Dharamshala Road\n,Himachal Pradesh,Kangra,0
"Near Petrol Pump, Dharamshala Road,",Dr.K.D.'s Eye Hospital,"Near Petrol Pump, Dharamshala Road",Himachal Pradesh,Kangra,0
Paprola,Ayurvedic College Hospital,Paprola,Himachal Pradesh,Kangra,0
DEHRA,Ayurvedic Hospital,DEHRA,Himachal Pradesh,Kangra,0
Harsar,Ayurvedic Hospital,Harsar,Himachal Pradesh,Kangra,0
THURAL,Civil Hospital,THURAL,Himachal Pradesh,Kangra,0
KANGRA,Civil Hospital,,Himachal Pradesh,Kangra,0
Baijnath,Civil Hospital,Baijnath,Himachal Pradesh,Kangra,0
Dehra,Civil Hospital,Dehra,Himachal Pradesh,Kangra,0
Nurpur,Civil Hospital,Nurpur,Himachal Pradesh,Kangra,0
Palampur,Civil Hospital,Palampur,Himachal Pradesh,Kangra,0
Bhawarna,Community Health Centre,Bhawarna,Himachal Pradesh,Kangra,0
Dada Siba,Community Health Centre,Dada Siba,Himachal Pradesh,Kangra,0
Fatehpur,Community Health Centre,Fatehpur,Himachal Pradesh,Kangra,0
Indora,Community Health Centre,Indora,Himachal Pradesh,Kangra,0
Jawalamukhi,Community Health Centre,Jawalamukhi,Himachal Pradesh,Kangra,0
Jawali,Community Health Centre,Jawali,Himachal Pradesh,Kangra,0
Kotkhai,Community Health Centre,Kotkhai,Himachal Pradesh,Kangra,0
Nagrota Bagwan,Community Health Centre,Nagrota Bagwan,Himachal Pradesh,Kangra,0
Nagrota Surian,Community Health Centre,Nagrota Surian,Himachal Pradesh,Kangra,0
Nankhari,Community Health Centre,Nankhari,Himachal Pradesh,Kangra,0
Shahpur,Community Health Centre,Shahpur,Himachal Pradesh,Kangra,0
Chadiyar,Community Health Centre,Chadiyar,Himachal Pradesh,Kangra,0
Dharmshala,DistrictAyurvedic Hospital,Dharmshala,Himachal Pradesh,Kangra,0
Nichar,Chc Nichar,Nichar,Himachal Pradesh,Kinnaur,172103
"Sholtu, Tapri",Jaypee Hospital,"Sholtu, Tapri",Himachal Pradesh,Kinnaur,172104
Tapri,"PHC, Tapri",Tapri,Himachal Pradesh,Kinnaur,172104
Sangla,Chc Sangla,Sangla,Himachal Pradesh,Kinnaur,172106
Reckongpeo,"Referal Hospital, Reckongpeo",Reckongpeo,Himachal Pradesh,Kinnaur,172107
Pooh,Chc Pooh,Pooh,Himachal Pradesh,Kinnaur,172111
"Tanda, Kangra",Dr.RPMC Hospital,Tanda,Himachal Pradesh,Kangra,176001
Kangra,Halder kola Ayurvedic Hospital,,Himachal Pradesh,Kangra,0
Gopalpur,Primary Health Centre,Gopalpur,Himachal Pradesh,Kinnaur,0
"NH 88, Adarsh Colony, Kangra",Shree Balaji Hospital,"NH 88, Adarsh Colony",Himachal Pradesh,Kangra,176001
Dharamsala,Zonal Hospital,Dharamsala,Himachal Pradesh,Kinnaur,176215
Sangla,Community Health Centre,Sangla,Himachal Pradesh,Kinnaur,0
Pooh,Community Health Centre,Pooh,Himachal Pradesh,Kinnaur,0
Reckong Peo,DistrictAyurvedic,Reckong Peo,Himachal Pradesh,Kinnaur,0
Nichar,Primary Health Centre,Nichar,Himachal Pradesh,Kinnaur,0
Bhavanagar,Project Hospital,Bhavanagar,Himachal Pradesh,Kinnaur,0
Reckong Peo,Regional Hospital,Reckong Peo,Himachal Pradesh,Kinnaur,0
Khaneri Rampur Bsr. District Shimla,Mahatama Gandhi Medical College,Khaneri Rampur Bsr.,Himachal Pradesh,Shimla,172001
Nirmand,Civel Hospital Niramd,Nirmand,Himachal Pradesh,Kullu,172023
Ani,Civil Hospital,Ani,Himachal Pradesh,Kullu,172026
Dhalpur,Beas Hospital,Dhalpur,Himachal Pradesh,Kullu,175101
0,Civel Hospital Kullu,,Himachal Pradesh,Kullu,175101
Dr. P.D. Lal's K.D.M.C. Marigold Bldgs (Medical Liaison Service) Dhalpur,Clinic Kdmc Marigold,Dr. P.D. Lal's K.D.M.C. Marigold Bldgs (Medical Liaison Service) Dhalpur,Himachal Pradesh,Kullu,175101
Akkhara Bazar,Kullu Medical Centre,Akkhara Bazar,Himachal Pradesh,Kullu,175101
"Kullu Valley Hospital, Shastri Nagarnear Puri Petrol Pump",Kullu Valley Hospital ( A Unit Of Banga Hospitals Pvt. Ltd. ) - Kullu,"Kullu Valley Hospital , Shastri Nagarnear Puri Petrol Pump",Himachal Pradesh,Kullu,175101
Hathithan Bhuntar,Sri Harihar Hospital,Hathithan Bhuntar,Himachal Pradesh,Kullu,175122
Banjaar,Civil Hospital,Banjaar,Himachal Pradesh,Kullu,175123
"OppositeJugals, Bhunter",Pehal Nursing Home,"OppositeJugals, Bhunter",Himachal Pradesh,Kullu,175125
"Nh-21, Vill. Kalheli- P. O Bajaura- Tehshil",S R Hospital and Surgical Center,"Nh-21, Vill. Kalheli- P. O Bajaura- Tehshil",Himachal Pradesh,Kullu,175125
"Kullu Road, Manali",Aruya Aspatal,"Kullu Road, Manali",Himachal Pradesh,Kullu,175129
Rampur Road,Bablu Clinic,Rampur Road,Himachal Pradesh,Kullu,175129
"Bhunter, Behind Addarsh School",City Care Hospital,"Bhunter, Behind Addarsh School",Himachal Pradesh,Kullu,175129
0,Das Clinic,,Himachal Pradesh,Kullu,175129
Dabari Mahal,Life Line Clinic,Dabari Mahal,Himachal Pradesh,Kullu,175129
Bharai,Medimax,Bharai,Himachal Pradesh,Kullu,175129
Dawara Po Dhobi,Oasis Medical Center,Dawara Po Dhobi,Himachal Pradesh,Kullu,175129
Manali,Civil Hospital,Manali,Himachal Pradesh,Kullu,175131
Manali,Lady Willingdon Hospital,Manali,Himachal Pradesh,Kullu,175131
"Near Telephone Exchange, Manali",Rawat Clinic,"Near Telephone Exchange, Manali",Himachal Pradesh,Kullu,175131
Near GovernmentCollage The Mall Dhalpur,Sri Harihar Hospital and Research Centre,Near GovernmentCollage The Mall Dhalpur,Himachal Pradesh,Kullu,0
Manali,Lady Willngdon Hospital,Manali,Himachal Pradesh,Kullu,0
Vill.Kalheli PO Bajaura The.,S.R.Hospital,Vill.Kalheli PO Bajaura The.,Himachal Pradesh,Kullu,0
Kullu,"Ayurvedic Hospital, Katrai",,Himachal Pradesh,Kullu,0
Ani,"Civil Hospital, Ani",Ani,Himachal Pradesh,Kullu,0
Banjaar,Civil Hospital,Banjaar,Himachal Pradesh,Kullu,0
Jari,Civil Hospital,Jari,Himachal Pradesh,Kullu,0
Kullu,Civil Hospital,,Himachal Pradesh,Kullu,0
Manali,Civil Hospital,Manali,Himachal Pradesh,Kullu,0
Nirmand,Civil Hospital,Nirmand,Himachal Pradesh,Kullu,0
Dalash,Community Health Centre,Dalash,Himachal Pradesh,Kullu,0
Tabo,"P H C, Tabo",Tabo,Himachal Pradesh,Lahaul and Spiti,172113
Kaza,C H C Kaza,Kaza,Himachal Pradesh,Lahaul and Spiti,172114
Keylong,District Ayurvedic Hospital,Keylong,Himachal Pradesh,Lahaul and Spiti,175132
Keylong,"Regional Hospital, Keylong",Keylong,Himachal Pradesh,Lahaul and Spiti,175132
Shansha,C H C Shansha,Shansha,Himachal Pradesh,Lahaul and Spiti,175133
